Date,Market,Keyword,Language,Volume/mo,CPC $,KD %,Intent,Campaign,Ad Group,Match Type,Priority,Status,Notes
2026-09-15,ir+om (fa),خرید ملک در عمان,FA,,,,Buy/Residency,SEO fa pillar kharid-melk-dar-oman-2026 + /fa/buy,,,P1,"Ranking, push to page 1","GSC 377 impr, pos 8.1, 17 clicks"
2026-09-15,ir+om (fa),خرید ملک در عمان برای ایرانیان,FA,,,,Buy/Residency,SEO fa pillar (H1 already carries it),,,P1,Owned,GSC 33 impr pos 6.5; autocomplete #2 for the head term
2026-09-15,ir+om (fa),خرید ملک در عمان و اقامت,FA,,,,Buy/Residency,SEO fa pillar + new residency article,,,P1,New,autocomplete #3
2026-09-15,ir+om (fa),اقامت با خرید ملک در عمان / اخذ اقامت عمان با خرید ملک,FA,,,,Buy/Residency,SEO /fa/insights/oman-residency-by-investment-guide (rewritten 2026-09-15),,,P1,New owner set,GSC 38 impr pos 22; autocomplete
2026-09-15,ir+om (fa),حداقل مبلغ خرید ملک در عمان برای اقامت,FA,,,,Buy/Residency,SEO residency article FAQ,,,P1,"New, FAQ added",autocomplete
2026-09-15,ir+om (fa),خرید ملک در عمان با اقامت مادام العمر,FA,,,,Buy/Residency,"SEO residency article section ""اقامت دائم""",,,P2,New,"autocomplete (misconception, no lifetime residency)"
2026-09-15,ir+om (fa),معایب خرید ملک در عمان / مزایای خرید ملک در عمان,FA,,,,Buy/Residency,SEO content candidate (honest pros/cons article),,,P2,Content candidate,autocomplete
2026-09-15,ir+om (fa),اقامت عمان,FA,,,,Buy/Residency,SEO residency article,,,P1,New owner set,GSC 48 impr pos 31
2026-09-15,ir+om (fa),اقامت عمان برای ایرانیان,FA,,,,Buy/Residency,SEO residency article (title),,,P1,New,autocomplete #2
2026-09-15,ir+om (fa),اقامت عمان با ثبت شرکت / هزینه اقامت عمان با ثبت شرکت,FA,,,,Buy/Residency,SEO residency article + company-registration-oman-guide fa,,,P1,New,autocomplete
2026-09-15,ir+om (fa),اقامت عمان چگونه است / چقدر هزینه دارد / چند ساله است,FA,,,,Buy/Residency,SEO residency article FAQ,,,P1,"New, FAQ added",autocomplete (question cluster)
2026-09-15,ir+om (fa),اقامت دائم عمان با خرید ملک,FA,,,,Buy/Residency,SEO residency article,,,P2,New,autocomplete
2026-09-15,ir+om (fa),اقامت طلایی عمان / ویزای سرمایه گذاری عمان,FA,,,,Buy/Residency,SEO /fa/oman-golden-visa,,,P2,Owned,"autocomplete; en ""oman golden visa"" 113 impr pos 11.9"
2026-09-15,ir+om (fa),سرمایه گذاری در عمان,FA,,,,Info,SEO invest-in-oman-2026-guide fa (make it the single owner; /fa/invest and invest-oman-real-estate fa compete),,,P1,"Cannibalised, fix",GSC 101 impr pos 36
2026-09-15,ir+om (fa),بهترین سرمایه گذاری در عمان چیست / شرایط سرمایه گذاری در عمان,FA,,,,Info,SEO invest-in-oman-2026-guide fa FAQ,,,P2,Content gap,autocomplete
2026-09-15,ir+om (fa),راه اندازی کسب و کار در عمان,FA,,,,Info,SEO start-business fa (seo_title fixed 2026-09-15),,,P1,Retitled,GSC 79 impr pos 53
2026-09-15,ir+om (fa),ثبت شرکت در عمان,FA,,,,Info,SEO company-registration-oman-guide fa,,,P1,"Owned, weak",GSC 7 impr pos 19.7; autocomplete strong
2026-09-15,ir+om (fa),ثبت شرکت در عمان چقدر هزینه دارد / برای ایرانیان / بهتر است یا دبی,FA,,,,Info,SEO company-formation-cost fa + oman-vs-uae fa,,,P2,Owned,"autocomplete; ""بهتر است یا دبی"" GSC 14 impr pos 5.4"
2026-09-15,ir+om (fa),شرکت SPC عمان / تفاوت SPC و LLC,FA,,,,Info,SEO oman-property-owner-residency-visa-2026 fa (translated 2026-09-15),,,P1,Fixed,"fa page ranked pos 4.2 with ENGLISH title (422 impr, 0.95% CTR)"
2026-09-15,ir+om (fa),خرید آپارتمان در عمان,FA,,,,Buy/Residency,SEO buy-apartment-in-oman-2026 fa (created 2026-09-15),,,P1,New,GSC 54 impr pos 20; fa edition was missing
2026-09-15,ir+om (fa),قیمت خرید آپارتمان در عمان / خرید اپارتمان در مسقط عمان,FA,,,,Buy/Residency,SEO buy-apartment fa + best-areas-muscat fa,,,P2,New,autocomplete
2026-09-15,ir+om (fa),قیمت خانه در عمان,FA,,,,Info,SEO qeymat-khane fa,,,P1,Owned,GSC 138 impr pos 9.4
2026-09-15,ir+om (fa),قیمت خانه در عمان ۲۰۲۶ / به دلار / مسقط / برای اقامت,FA,,,,Buy/Residency,SEO qeymat-khane fa (add H2 for dollar + Muscat),,,P2,Content gap,autocomplete variants
2026-09-15,ir+om (fa),قیمت ملک در عمان / به تومان / برای اقامت,FA,,,,Buy/Residency,SEO qeymat-khane fa + /fa/property-prices-in-oman,,,P2,Owned,GSC 27 impr pos 7.6; autocomplete
2026-09-15,ir+om (fa),قیمت ملک در شهرک الموج عمان,FA,,,,Info,SEO al-mouj fa guide,,,P3,Owned,autocomplete
2026-09-15,ir+om (fa),هزینه زندگی در عمان (+ برای ایرانیان / ماهانه / به تومان / برای یک نفر),FA,,,,Info,SEO new article candidate (top of funnel for movers),,,P1,Content gap,"autocomplete cluster, 10 variants, no page on site"
2026-09-15,ir+om (fa),مهاجرت به عمان (+ برای کار / با خانواده / کادر درمان / پرستار),FA,,,,Info,SEO new article candidate,,,P2,Content gap,autocomplete cluster; homepage H2 uses the phrase but no article
2026-09-15,ir+om (fa),زندگی در عمان برای ایرانیان / زندگی در عمان بهتر است یا دبی,FA,,,,Info,SEO content candidate,,,P2,Content gap,autocomplete
2026-09-15,ir+om (fa),بهترین شهر عمان برای زندگی / بهترین منطقه مسقط برای زندگی,FA,,,,Info,SEO best-areas-muscat fa (retitle or new),,,P2,Content gap,autocomplete
2026-09-15,ir+om (fa),اجاره خانه در عمان / قیمت اجاره خانه در عمان به پول ایران,FA,,,,Info,SEO qeymat-khane fa has a rent row; dedicated rent guide candidate,,,P3,Content gap,GSC 13 impr pos 8.5; autocomplete
2026-09-15,ir+om (fa),خرید ملک در عمان اقساطی / خرید اقساطی ملک در عمان,FA,,,,Buy/Residency,SEO oman-property-payment-plans fa,,,P2,Owned,autocomplete
2026-09-15,ir+om (fa),مالیات در عمان / مالیات شرکت در عمان / مالیات حقوق در عمان,FA,,,,Info,SEO oman-taxes fa,,,P2,Owned,autocomplete
2026-09-15,ir+om (fa),خرید زمین در عمان,FA,,,,Buy/Residency,SEO content candidate (explain the rule),,,P3,Content gap,autocomplete; foreigners cannot buy land outside ITC
2026-09-15,ir+om (fa),سایت خرید خانه در عمان,FA,,,,Buy/Residency,SEO behtarin-sayt fa,,,P2,Owned,GSC 14 impr pos 7.6
2026-09-15,ir+om (fa),واردات خودرو از عمان به ایران / واردات خودرو ایرانیان خارج از کشور ۱۴۰۵,FA,,,,Info,SEO car-import fa article,,,P2,Owned,GSC 60+55 impr pos 5; fa autocomplete; EN URL served to diaspora
2026-09-15,ir+om (fa),شهر سلطان هیثم / قیمت خانه در شهر سلطان هیثم,FA,,,,Info,SEO sultan-haitham-city fa,,,P3,Owned,GSC 4 impr pos 3.8; autocomplete
2026-09-15,om+uk+us (en),spc company in oman / spc company oman cost / what is spc company in oman,EN,,,,Info/Comm,SEO oman-property-owner-residency-visa-2026 en (the SPC owner) + company-formation-cost en,,,P1,"Owned, striking distance","GSC 148+74+28 impr, pos 9 to 11"
2026-09-15,om+uk+us (en),llc vs spc / llc spc meaning / spc meaning in oman,EN,,,,Info/Comm,SEO same page,,,P2,Owned,GSC 38+36+30 impr pos 2 to 9
2026-09-15,om+uk+us (en),personal loan in oman for expats (+ without salary / bank muscat / hsbc),EN,,,,Info/Comm,"SEO bank-loans en (retitled 2026-09-14 to ""Loan in Oman for Expats"")",,,P1,Retitled,"autocomplete 10 variants; GSC ""bank muscat loan eligibility for expats"" 65 impr"
2026-09-15,om+uk+us (en),home loan for expats in oman / housing loan in oman,EN,,,,Info/Comm,SEO bank-loans en,,,P2,Owned,autocomplete
2026-09-15,om+uk+us (en),oman investor visa (+ price / requirements / benefits / for pakistani / 2 years),EN,,,,Buy/Residency,"SEO oman-residency-by-investment-guide en (1,684 impr pos 8.9)",,,P1,Expand H2s,GSC 48+48+29+16 impr pos 6 to 14; autocomplete 10 variants; sheet had head term only
2026-09-15,om+uk+us (en),oman residency by property / oman residency by buying property,EN,,,,Buy/Residency,SEO oman-owner-visa en (retitled 2026-09-14),,,P1,Retitled,"autocomplete; GSC ""oman residency by property"" 12 impr pos 9"
2026-09-15,om+uk+us (en),oman golden visa price / requirements / benefits / official website,EN,,,,Buy/Residency,SEO /oman-golden-visa,,,P1,"Owned, pos 9 to 12",autocomplete; GSC 37+13 impr
2026-09-15,om+uk+us (en),can foreigners buy property in oman / can foreigners buy land in oman,EN,,,,Buy/Residency,SEO buy-property-oman-foreigners-itc-rules en,,,P1,Striking distance,GSC 58 impr pos 12 + 20 impr pos 8.9
2026-09-15,om+uk+us (en),buy property in oman and get residency / buy property in oman expat,EN,,,,Buy/Residency,SEO /buy + owner visa article,,,P2,New,autocomplete
2026-09-15,om+uk+us (en),oman property for sale for foreigners / cheap / itc property for sale,EN,,,,Buy/Residency,SEO /project + cheap-property article,,,P2,Owned,autocomplete
2026-09-15,om+uk+us (en),apartments for sale in muscat for expats / in muscat bay / in muscat hills,EN,,,,Buy/Residency,"SEO /buy-apartment-in-muscat (914 impr pos 12.4, CTR 0.55%)",,,P1,Rewrite snippet,autocomplete
2026-09-15,om+uk+us (en),al mouj muscat apartments for sale / flat for sale / price,EN,,,,Buy/Residency,SEO al-mouj guide + /buy/vistal,,,P2,Owned,autocomplete
2026-09-15,om+uk+us (en),cost of living in oman (+ per month / for single person / family of 4 / vs dubai / for indian family),EN,,,,Info/Comm,SEO new article candidate (EN + FA),,,P1,Content gap,autocomplete 10 variants; no page
2026-09-15,om+uk+us (en),living in oman as an expat / as a foreigner / vs dubai,EN,,,,Info/Comm,SEO content candidate,,,P2,Content gap,autocomplete
2026-09-15,om+uk+us (en),move to oman from uk / from us / from india / requirements,EN,,,,Info/Comm,SEO property-for-sale-oman-expats-uk-guide en (add relocation H2),,,P2,Content gap,"autocomplete; UK 8,380 impr at 1.06% CTR"
2026-09-15,om+uk+us (en),property tax in oman,EN,,,,Buy/Residency,SEO property-tax-in-oman en,,,P1,Striking distance,"GSC 66 impr pos 13.4 (+ ""property tax"" 98 impr pos 2.4, 0 clicks)"
2026-09-15,om+uk+us (en),oman corporate tax rate / corporate tax in oman,EN,,,,Info/Comm,SEO oman-taxes en (retitled) or dedicated corporate tax article,,,P2,Content gap,GSC 33+21+18+16 impr pos 22 to 26
2026-09-15,om+uk+us (en),oman vat rate 2026,EN,,,,Info/Comm,SEO oman-taxes en,,,P2,Owned,GSC 17 impr pos 9.2
2026-09-15,om+uk+us (en),tax in oman for expats / for foreigners / on salary / for indian,EN,,,,Info/Comm,SEO oman-taxes en (retitled 2026-09-14),,,P1,Retitled,autocomplete
2026-09-15,om+uk+us (en),how to invest in oman stock market for beginners / oman stock exchange brokers / listed companies,EN,,,,Info/Comm,SEO msx article en (retitled 2026-09-14),,,P2,Retitled,autocomplete; GSC 94 impr pos 6.4
2026-09-15,om+uk+us (en),company registration in oman for foreigners / free zone / incorporation,EN,,,,Info/Comm,SEO company-formation-cost en + free-zone en,,,P1,Striking distance,"autocomplete; GSC ""company registration in oman"" 159 impr pos 11.2"
2026-09-15,om+uk+us (en),how to start a business in oman as a foreigner / small business without money,EN,,,,Info/Comm,SEO start-business en,,,P2,Owned,autocomplete
2026-09-15,om+uk+us (en),salalah real estate / salalah property for sale / hawana salalah property for sale,EN,,,,Buy/Residency,"SEO /buy-property-in-salalah (1,061 impr pos 14.7) + /buy/hawana-salalah (1,588 impr pos 10.4)",,,P1,Striking distance,GSC 46 impr pos 23.9; autocomplete
2026-09-15,om+uk+us (en),sultan haitham city price / location / project,EN,,,,Info/Comm,"SEO sultan-haitham-city guide en (1,359 impr pos 4.8)",,,P2,Owned,"autocomplete; sheet had 2,400/mo head term"
2026-09-15,om+uk+us (en),oman freehold property for sale / oman freehold property visa,EN,,,,Buy/Residency,SEO /buy,,,P2,Owned,autocomplete
2026-09-15,om+uk+us (en),iran car import tax / iran car import policy / iran vehicle import regulations,EN,,,,Info/Comm,SEO car-import en (retitled 2026-09-14),,,P2,Retitled,"autocomplete (the only EN intent behind the 6,557-impression car page)"
2026-09-15,om+sa+ae+eg (ar),شراء عقار في سلطنة عمان للاجانب / هل شراء عقار في سلطنة عمان يمنح الإقامة,AR,,,,Buy/Residency,SEO buy-property-oman-foreigners ar,,,P1,"Owned, striking distance",GSC 38 impr pos 9.4; autocomplete
2026-09-15,om+sa+ae+eg (ar),شقق للبيع في مسقط (+ للاجانب / تملك حر / بالتقسيط / على البحر),AR,,,,Buy/Residency,SEO ar apartments-in-muscat page or best-areas ar,,,P1,Content gap,"GSC ""شقق للبيع مسقط"" 14 impr pos 30; autocomplete 10 variants"
2026-09-15,om+sa+ae+eg (ar),عقارات مسقط / عقارات للبيع في مسقط سلطنة عمان / شركة عقارات مسقط,AR,,,,Buy/Residency,SEO /ar/buy-property-in-muscat + /ar/about,,,P2,Weak,GSC 13 impr pos 39; autocomplete
2026-09-15,om+sa+ae+eg (ar),شقق للبيع سانت ريجيس الموج / شراء شقة في سانت ريجيس الموج,AR,,,,Buy/Residency,SEO st-regis ar article (check edition exists),,,P1,Striking distance,GSC 23+23+23 impr pos 17 to 24
2026-09-15,om+sa+ae+eg (ar),فلل للبيع في هوانا صلالة / مشروع هوانا صلالة / فلل هوانا صلالة,AR,,,,Buy/Residency,SEO hawana ar article + /ar/buy/hawana-salalah,,,P1,Owned,GSC 33+22+22 impr pos 6.6 to 10.4
2026-09-15,om+sa+ae+eg (ar),مدينة السلطان هيثم أسعار,AR,,,,Buy/Residency,SEO sultan-haitham-city ar,,,P2,Owned,"GSC 28 impr pos 5.1, 3 clicks"
2026-09-15,om+sa+ae+eg (ar),اسعار العقارات في سلطنة عمان / أسعار الشقق في سلطنة عمان للاجانب,AR,,,,Buy/Residency,SEO /ar/property-prices-in-oman,,,P2,Owned,GSC 15+12 impr pos 7.7 to 9.4
2026-09-15,om+sa+ae+eg (ar),الاستثمار العقاري في سلطنة عمان / الاستثمار في سلطنة عمان للاجانب / شروط الاستثمار,AR,,,,Buy/Residency,SEO invest-oman ar editions,,,P2,Owned,"autocomplete; GSC ""قانون الاستثمار العماني"" 16 impr"
2026-09-15,om+sa+ae+eg (ar),كم الضريبة في عمان / ضريبة الدخل في عمان,AR,,,,Buy/Residency,"SEO oman-taxes ar (1,245 impr, 1.2% CTR: rewrite snippet)",,,P1,Rewrite snippet,GSC 14+4 impr pos 5.4 to 9
2026-09-15,om+sa+ae+eg (ar),الاقامة في سلطنة عمان للاجانب / سعر الإقامة في سلطنة عمان,AR,,,,Buy/Residency,"SEO oman-owner-visa ar (1,030 impr) + residency ar",,,P2,Owned,autocomplete (nationality variants: مصريين، سوريين، عراقيين)
2026-09-15,ru+kz (ru),недвижимость в омане купить / сколько стоит недвижимость в омане / можно ли купить недвижимость в омане,RU,,,,Buy/Residency,SEO ru buy pillar oman-realty-2026 + /ru/buy,,,P1,Owned,autocomplete
2026-09-15,ru+kz (ru),как получить вид на жительство в омане / внж оман за недвижимость,RU,,,,Buy/Residency,SEO oman-owner-visa ru + residency ru,,,P1,Owned,autocomplete; sheet C5 (proposed)
2026-09-15,ru+kz (ru),переезд в оман из россии,RU,,,,Buy/Residency,SEO content candidate,,,P3,Content gap,autocomplete
